GISID,CALENDAR_YEAR,STATE_ROUTE,LOC_ROAD_NAME_RMS,INTERSECTION_FROM,SEGMENT_FROM,OFFSET_FROM,INTERSECTION_TO,SEGMENT_TO,OFFSET_TO,MUNICIPALITY_NAME1,MUNICIPALITY_NAME2,MUNICIPALITY_NAME3,LEG_DIST_1,LEG_DIST_2,LEG_DIST_3,SENATORIAL_DIST_1,SENATORIAL_DIST_2,CONG_DISTRICT,PLANNED,COUNTY,CNT_CODE,NLF_ID,NLF_B,NLF_E,PRIORITY,NOTES,SR,LIMITS_FROM,LIMITS_TO,MCD,BIKE_PROPOSED,BIKE_NOTES,BIKELTS_EXIST,BIKELTS_IMP,LTS_PRIORITY,PRIORITY_NOTES,PROPOSAL_SOURCE,PROJECTNUM,LETDATE,STARTWORK,CONSTRUCTIONRE,MCD_INTEREST,MCD_CONTACT,DVRPCSCREENING,PENNDOTSCREENING,DISMAINTENANCE,DATECOMMUNICATION,DATARECEIPT,DATEISSUANCE,DESIGNER,DATEASSIGNED,DATECOMPLTED,PENNDOTNOTS,COUNTYNOTES,BCGPNOTES,ISACTIVE,LASTUPDATE,SEG_REGI_PRIO,SEG_COUNTY_PRIO,SEG_PUB_PRIO,FACILITYIMP,PENNFEASISCREEN,PENNFEASISCREENNOTE,DATELETTER,OUTREACHNOTE,DVRPCNOTES,ADMINSELECTED,ALTERFUNDSTREAM,FUNDOPPORTNITY,FUNDNOTES,BATCHNUM,STRIPINGCOMPLETE,STRIPINGREVIEW,SIGNALREVISED,HASSIGNAGE,SIGNAGECOMPLETE,STRIPINGSHARE,OUTREACH_PRIORITIZED,SHORTCODE,LONGCODE,CHANGECODE,SOURCE,PROJECTECMS,ESTQUANTITIES,BFL_FROM,BFL_TO,SIGNALASSIGE,SIGNALCOMPLETED,NOTIFYCOUNTY 
2308,2023,322,CONCHESTER HW,352' S of Story Rd.,111,0,CSXT RR Bridge,121,2803,UPPER CHICHESTER,,,,,,,,,0.81,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,032201110121,03220111000001212803,4,5-year plan 2020-2024,,,,,,,
2309,2022,3019,ROSE VALLEY RD,Chester Rd / SR 0320,10,0,Baltimore Ave / SR 2016,70,3539,SWARTHMORE,ROSE VALLEY,MEDIA,,,,,,,3.62,Delaware,23,,,,10,,,,,,N/A," AADT: ~6,000
LTS: 3
Speed limit: 35

Despite low volumes, speeds and curvature of the road necessitates bike lanes at the least. There is no available cross section for this type of facility.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, ,Segment is a Secondary Route on County Bike Plan. Section from Avondale Road to Chester Road is part of signed Bicyclists' Baltimore Pike bike route with existing edge lines. Bike lanes are most feasible in Swarthmore Borough section since there are shoulders. Tom Shaffer of DCPD needs to speak with PennDOT staff about shifting existing edge lines in Swarthmore., ,No,2021-05-26 12:46:37,Yes,Yes,Yes,No,N/A,,,, Substantial portions in top 10-20% in terms of regional connectivity,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,301900100070,30190010000000703539,2,5-year plan 2020-2024,,,,,,,
2312,2022,2037,CRUM CREEK  RD,Beatty Rd / SR 2018,10,0,State Rd / SR 1008,20,2785,UPPER PROVIDENCE,NETHER PROVIDENCE,,,,,,,,1.09,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , Not on County Bike Plan, ,No,2021-05-04 12:55:25,No,No,No,N/A,N/A,,,, ,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,203700100020,20370010000000202785,3,5-year plan 2020-2024,,,,,,,
2313,2022,3007,CONCORD RD,Bethel Rd / SR 3010,20,0,Baltimore Pk / SR 0001,130,3637,CONCORD,CHESTER,BETHEL,,,,,,,8.24,Delaware,23,,,,10,,,,,,N/A," AADT: ~10,000
LTS: 3 (S of Fisher Corners) 4 (N of Fisher Corners)
Speed limit: 40, 35 N of Bridgewater Rd

Speeds and volumes are simply too high. There are sections that have enough width for a bikeable shoulder as-is, but conventional bike lanes would not be safe for cyclists, even if there was a consistent enough cross section for them.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, ," Segment is Primary Route on County Bike Plan. Serves as alternate route to 322 in 322 corridor. In Aston and Chester Township sections, route serves a lot of work sites and businesses. Would intersect with proposed Octoraro rail trail, for which Concord Township has funding.", ,No,2021-05-26 13:20:43,Yes,Yes,Yes,No,N/A,,,," Southern portion, starting around Aston Mills, in top 10-40% in terms of regional connectivity",Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,300700200130,30070020000001303637,3,5-year plan 2020-2024,,,,,,,
2315,2022,3033,ENGLE ST,Ninth St / SR 0013,15,0,Concord Rd / SR 3007,15,425,CHESTER,,,,,,,,,0.08,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,303300150015,30330015000000150425,3,5-year plan 2020-2024,,,,,,,
2317,2022,3035,HIGHLAND AV,Fifteenth St,11,0,Bethel Rd / SR 3010,11,1598,CHESTER CITY,,,,,,,,,0.3,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,303500110011,30350011000000111598,3,5-year plan 2020-2024,,,,,,,
2318,2023,291,INDUSTRIAL HW,320' E of Eddystone Industrial Ct,114,0,Stevens Dr.,180,3053,EDDYSTONE,TINICUM,RIDLEY,,,,,,,3.22,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,029101140180,02910114000001803053,3,5-year plan 2020-2024,,,,,,,
2320,2023,320,SPROUL RD,Baltimore Pk / SR 2016,120,0,Marpel Twp. Line,150,3617,SPRINGFIELD,,,,,,,,,2.0,Delaware,23,,,,0,,,,,,N/A," AADT: ~15,000
LTS: 4
Speed limit: 35

There are existing bicycle lanes for much of this segment- between Baltimore Pike and Woodland Ave/Beatty Rd. Extending them on this segment is not recommended due to limited cross section, change in land use, and two tricky intersections to the north that would be unsafe for cyclists.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , Segment is Primary Route on County Bike Plan. PennDOT already installed bike lanes between Rt. 420 and Baltimore Pike. There are plenty of work sites and businesses for destinations., ,No,2021-05-26 13:33:59,No,Yes,Yes,No,N/A,,,, LTS 4.,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,032001200150,03200120000001503617,3,5-year plan 2020-2024,,,,,,,
153,2018,0113,UWCHLAN AV,East Lancaster Ave / SR 3070,0051,0,Gordon Dr.,0095,1680,UWCHLAN,,,155,,,44,,6,2.56,Chester,15,2791,0,13491,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,011300510095,01130051000000951680,0,5-year plan 2019-2023,,,,,,,
156,2018,0401,CONESTOGA RD,Berks County Line,0010,0,Pottstown Pk / SR 0100,0164,2567,ELVERSON,WEST VINCENT,WEST NANTMEAL,155,026,,44,,7,9.31,Chester,15,2815,0,49172,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,040100100164,04010010000001642567,0,5-year plan 2019-2023,,,,,,,
160,2018,3066,VALLEY AV,Main St / SR 0372,0010,0,Atglen Boro. Line,0020,1005,ATGLEN,ATGLEN,,013,013,,19,,7,0.51,Chester,15,3022,0,2686,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,306600100020,30660010000000201005,0,5-year plan 2019-2023,,,,,,,
163,2018,3073,BLACK HORSE RD,Lincoln Hwy / SR 3070,0010,0,Caln Rd / SR 4005,0050,3537,COATESVILLE,VALLEY,CALN,074,,,19,,16,1.91,Chester,15,3038,0,9049,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,307300100050,30730010000000503537,0,5-year plan 2019-2023,,,,,,,
167,2019,0001,KENNETT OXFORD,Ramp from SR 0896 / SR 8007,0231,0,1044' N of SR 796,0271,2485,UPPER OXFORD,PENN,,013,,,19,,7,2.54,Chester,15,2761,53634,67065,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-01-14 09:01:10,No,No,No,N/A,N/A,,,,,N,N/A,,,2019-1,N/A,N/A,N/A,N/A,,,N/A,000102310271,00010231000002712485,0,5-year plan 2019-2023,,,,,,,
2321,2023,320,SPROUL RD,Baltimore Pk / SR 2016,121,0,Marpel Twp. Line,151,3639,SPRINGFIELD,,,,,,,,,0.99,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,032001210151,03200121000001513639,3,5-year plan 2020-2024,,,,,,,
174,2019,0100,POTTSTOWN PK,Welsh Pool Rd,0301,0,Nantmeal Rd,0321,3724,UWCHLAN,UPPER UWCHLAN,,155,,,44,,6,1.75,Chester,15,2772,34058,43309,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-01-14 09:11:57,No,No,No,N/A,N/A,,,,,N,N/A,,,2019-1,N/A,N/A,N/A,N/A,,,N/A,010003010321,01000301000003213724,0,5-year plan 2019-2023,,,,,,,
2322,2024,3,WEST CHESTER PK,Chester Co. Line,10,0,Ellis Ave,50,1715,NEWTOWN,EDGMONT,,,,,,,,2.92,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,000300100050,00030010000000501715,4,5-year plan 2020-2024,,,,,,,
181,2019,1027,LOWER PINE CREE,Conestoga Rd / SR 0401,0010,0,Yellow Springs Rd / SR 1024,0020,3524,WEST PIKELAND,,,167,,,19,,6,1.1,Chester,15,2870,0,5806,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-02-25 14:16:50,No,No,No,N/A,N/A,,,,,Y,N/A,,,2019-2,N/A,N/A,N/A,N/A,,,N/A,102700100020,10270010000000203524,0,5-year plan 2019-2023,,,,,,,
2323,2024,3,WEST CHESTER PK,Chester Co. Line,11,0,Ellis Ave,51,1743,NEWTOWN,EDGMONT,,,,,,,,2.92,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,000300110051,00030011000000511743,4,5-year plan 2020-2024,,,,,,,
2324,2024,2029,OXFORD VALLEY R,Oxford Valley Rd / SR 2053,120,0,Lincoln Hwy / SR 2037,120,396,FALLS,,,,,,,,,0.08,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,202901200120,20290120000001200396,4,5-year plan 2020-2024,,,,,,,
2325,2024,2029,OXFORD VALLEY R,Oxford Valley Rd / SR 2053,121,0,Lincoln Hwy / SR 2037,121,356,MIDDLETOWN,,,,,,,,,0.07,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,202901210121,20290121000001210356,4,5-year plan 2020-2024,,,,,,,
2326,2024,13,CHURCH LN,Church Ln / MacDade Blvd.,290,0,Baltimore Ave / SR 2016,320,657,YEADON,UPPER DARBY,,,,,,,,1.06,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,001302900320,00130290000003200657,4,5-year plan 2020-2024,,,,,,,
2327,2024,202,WILMINGTON PK,Delaware State Line,10,0,Dilworthtown Rd / SR 4016 / Chester Co. Line,116,2108,CONCORD,CHADDS FORD,BETHEL,,,,,,,4.65,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,020200100116,02020010000001162108,4,5-year plan 2020-2024,,,,,,,
2328,2024,3025,FOURTH STREET,River Rd / SR 0032,10,0,Coates St/ SR 0023,20,337,UPPER MERION,,,,,,,,,0.35,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,302500100020,30250010000000200337,1,5-year plan 2020-2024,,,,,,,
17,2018,8055,RAMP RD,Rockhill Dr / SR 2044,0750,0,Lincoln Hwy / SR 0001 NB,0750,633,BENSALEM,,,018,,,6,,8,0.12,Bucks,9,37878,0,633,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,805507500750,80550750000007500633,0,5-year plan 2019-2023,,,,,,,
20,2019,0032,MAIN ST,Windy Bush Rd / SR 0232,0350,0,Ferry St.,0350,2278,NEW HOPE,,,178,,,10,,8,0.43,Bucks,9,1899,86537,88815,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-01-14 08:38:39,No,No,No,N/A,N/A,,,,,N,N/A,,,2019-1,N/A,N/A,N/A,N/A,,,N/A,003203500350,00320350000003502278,0,5-year plan 2019-2023,,,,,,,
2329,2024,202,WILMINGTON PK,Delaware State Line,11,0,Dilworthtown Rd / SR 4016 / Chester Co. Line,117,2372,CONCORD,CHADDS FORD,,,,,,,,4.65,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,020200110117,02020011000001172372,4,5-year plan 2020-2024,,,,,,,
37,2019,2020,NEW TYBURN RD,Lincoln Hwy / SR 2037 / SR 2050,0011,0,Cedar Ln,0031,2680,FALLS,,,140,,,10,,8,1.7,Bucks,9,2013,0,8992,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-01-14 08:43:08,No,No,No,N/A,N/A,,,,,N,N/A,,,2019-1,N/A,N/A,N/A,N/A,,,N/A,202000110031,20200011000000312680,0,5-year plan 2019-2023,,,,,,,
48,2020,4008,CHURCH RD,Bethlehem Pk / SR 0309,0010,0,Hilltown Pk / SR 4011,0030,3302,HILLTOWN,,,144,,,10,,8,1.98,Bucks,9,2128,0,10469,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A, ,,,, ,,,,,, , Not on County Bike Plan, ,No,2019-02-21 16:13:54,No,No,No,N/A,N/A,, , No outreach to date, ,Y,N/A,,,2020-1,N/A,N/A,N/A,N/A,,,N/A,400800100030,40080010000000303302,3,5-year plan 2020-2024,,,,,,,
2241,2021,1056,BARNDT RD,Old Sumneytown Pk,10,0,Ridge Rd / SR 0563,20,1828,UPPER SALFORD,,,,,,,,,0.65,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2020-04-14 15:37:55,No,N/A,No,N/A,N/A,,,,,Y,N/A,,,2021-1,N/A,N/A,N/A,N/A,,,N/A,105600100020,10560010000000201828,0,5-year plan 2020-2024,,,,,,,
606,2018,1020,PHILMONT AV,Byberry Rd / SR 1020,0010,0,Bucks County Line,0030,1616,PHILADELPHIA,,,170,,,5,,13,1.02,Philadelphia,67,11196,0,5397,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,102000100030,10200010000000301616,0,5-year plan 2019-2023,,,,,,,
610,2018,3004,SIXTYTHIRD ST,Kingsessing Ave / SR 3023,0031,0,Passyunk Ave / SR 3019,0041,2802,PHILADELPHIA,,,185,,,8,,1,0.73,Philadelphia,67,11248,0,3842,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,300400310041,30040031000000412802,0,5-year plan 2019-2023,,,,,,,
2243,2021,1006,NEW GALENA RD,Hilltown Pk / SR 4011,10,0,New Galena Rd / Barry Rd / SR 4001,20,3049,NEW BRITAIN,,,,,,,,,1.21,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,"Eileen Bradley, New Britain Township Manager - ebradley@newbritaintownship.org",,,, ,,,,,, ,"Although not a priority, this segment could serve as an on-road alternative to, or connection to a proposed trail along the West Branch Neshaminy Creek, which to our knowledge, has not had any feasibility work done associated with it. Would also require a reduction in the speed limit from 40 down to 35 to allow for bike sharrows.", ,No,2020-04-14 14:40:39,No,No,No,N/A,N/A,, , , ,Y,N/A,,,2021-1,N/A,N/A,N/A,N/A,,,N/A,100600100020,10060010000000203049,3,5-year plan 2020-2024,,,,,,,
2244,2021,2037,OLD LINCOLN HW,Lincoln Hwy / SR 0001,10,0,Bristol Rd / SR 2025,40,2629,BENSALEM,,,,,,,,,2.02,Bucks,9,,,,30,,,,,,Conventional bike lanes,"Conventional bike lanes are feasible between Concord Dr. and Interplex Dr. Outside of this short segment, speeds are too high or the roadway is too narrow for bike facilities. ",0,0,N/A,,N/A,,,,,N/A, William Cmorey Director of Administration - wcmorey@bensalempa.gov,,,, ,,,,,, ,"Not identified as a Priority Spine in the Bucks County Bike Plan. Other than potential bike lanes along segment in front of Roosevelt Cemetery (Interplex Drive to Concord Dr), not sure what else can be considered.", ,No,2021-03-10 05:06:28,Yes,No,Yes,Yes,No," Not prioritized for outreach; therefore, not reviewed by PennDOT", , , Also priority connection to transit.,Y,N/A,,,,N/A,N/A,N/A,N/A,,,No,203700100040,20370010000000402629,3,5-year plan 2020-2024,,,,,,,
2246,2024,3021,BORTONDALE RD,Old Middletown Rd,10,0,Baltimore Ave / SR 2016,30,3186,MEDIA,UPPER PROVIDENCE,MIDDLETOWN,,,,,,,1.58,Delaware,23,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,302100100030,30210010000000303186,3,5-year plan 2020-2024,,,,,,,
2247,2021,3003,STENTON AV,Norfolk Southern RR Bridge,60,0,Skippack Pk / SR 0073,130,3765,WHITPAIN,WHITEMARSH,,,,,,,,4.02,Montgomery,46,,,,20,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , , ,No,2020-04-14 15:38:05,Yes,N/A,Yes,N/A,N/A,,,,  Also transit connectivity priority. ,Y,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,300300600130,30030060000001303765,0,5-year plan 2020-2024,,,,,,,
2248,2021,3015,NORTH LN,Hector St / SR 3058,10,0,Germantown Pk / SR 3053,60,3117,WHITEMARSH,PLYMOUTH,,,,,,,,2.63,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,301500100060,30150010000000603117,0,5-year plan 2020-2024,,,,,,,
2249,2021,3015,CHEMICAL RD,Hector St / SR 3058,41,0,Germantown Pk / SR 3053,61,3138,PLYMOUTH,,,,,,,,,1.18,Montgomery,46,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2020-04-14 15:38:19,No,N/A,No,N/A,N/A,,,,,Y,N/A,,,2021-1,N/A,N/A,N/A,N/A,,,N/A,301500410061,30150041000000613138,0,5-year plan 2020-2024,,,,,,,
285,2018,0013,CHESTER PK,Stuart Ave,0221,0,Church Ln (SR 0013),0261,1473,SHARON HILL BOROU,GLENOLDEN,FOLCROFT,185,162,,26,8,1,2.03,Delaware,23,4193,22374,33116,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,001302210261,00130221000002611473,0,5-year plan 2019-2023,,,,,,,
303,2018,3009,CHICHESTER AV,Market St / SR 0452,0010,0,Concord Rd / SR 3007,0086,3978,BETHEL,UPPER CHICHESTER,LOWER CHICHESTER,160,159,,9,,7,3.94,Delaware,23,4330,0,20780,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-01-08 09:33:51,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,300900100086,30090010000000863978,0,5-year plan 2019-2023,,,,,,,
314,2019,0030,LANCASTER AV,Chester Co. Line,0011,0,Montgomery Co. Line,0121,1519,RADNOR,HAVERFORD,,166,165,,17,,7,4.67,Delaware,23,4196,0,1519,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-01-14 09:19:06,No,No,No,N/A,N/A,,,,,N,N/A,,,2019-1,N/A,N/A,N/A,N/A,,,N/A,003000110121,00300011000001211519,0,5-year plan 2019-2023,,,,,,,
325,2019,1021,NEWTOWN RD,Darby Paoli Rd / SR 1015,0010,0,Conestoga Rd / SR 1019,0030,1807,RADNOR,,,165,,,17,,7,1.47,Delaware,23,4250,0,7758,40,,,,,,N/A,"AADT= ~7000
Posted SL= 35 mph
LTS Rating= 3

The posted speed and volumes necessitate buffered or separated bicycle lanes. There is not enough space within the cross-section to accommodate either of these improvements without expanding the roadway footprint. ",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,No,2019-03-01 13:03:55,Yes,No,No,No,N/A,,,,,Y,N/A,,,2019-2,N/A,N/A,N/A,N/A,,,N/A,102100100030,10210010000000301807,0,5-year plan 2019-2023,,,,,,,
332,2020,2022,STEWART AV,Lansdowne Ave / SR 2005,0010,0,Oak Ave,0020,2073,LANSDOWNE,EAST LANSDOWNE,UPPER DARBY,164,,,8,,1,0.88,Delaware,23,4299,0,4667,30,,,,,,Sharrows," AADT= ~3000
Posted SL= 25 mph
LTS Rating= 3

Due to low volumes and posted speeds, sharrows are suitable in both directions on Stewart Ave. Narrowing lane widths and installing bike lanes (conventional or parking protected) is an appealing option that would enhance traffic calming through the corridor, but this cannot be done without expanding the roadway footprint or removing on-street parking.",0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,, , ," Parallel to Baltimore Ave, 4 blocks north of Lansdowne Station",No,2019-07-23 16:03:06,Yes,No,Yes,Yes,No,JB - 4/19/19  ,,, ,Y,N/A,,,2019-2,N/A,N/A,N/A,N/A,,,N/A,202200100020,20220010000000202073,3,5-year plan 2020-2024,,,,,,,
2251,2022,413,NEWTOWN BP,357' N og Gilliam Ave,271,0,Swamp Rd / SR 2036,311,2694,NEWTOWN,,,,,,,,,0.68,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,041302710311,04130271000003112694,4,5-year plan 2020-2024,,,,,,,
2252,2022,1003,AQUETONG RD,River Rd / SR 0032,10,0,Meetinghouse Rd,70,3461,SOLEBURY,,,,,,,,,4.6,Bucks,9,,,,0,,,,,,Sharrows,"Sharrows are technically feasible here, and may be useful as wayfinding between D&L Canal and 202 trail. Posted speeds are 25-35 mph, but I doubt anyone drives that slowly. This stretch is really only appropriate for confident cyclists. My concern would be not-so-confident cyclists coming off one of two separated bike paths, seeing sharrows, and thinking it's safe/comfortable as a connection for them.",0,0,N/A,,N/A, , ,,,N/A," Dennis Carney, Manager (dcarney@soleburytwp.org)",,,,11/15/2021,11/18/2021, ,,, , , Connects to D&L Trail and comes within a 0.5 mile of the Route 202 Trail under development extending to Aquetong Springs Park/Lower Mountain Rd. Also intersects with major spine 9 - Route 202 (Doylestown to New Hope) route as identified in Bucks County Bike Plan., Connects to existing D&R and future 202 Trail,Yes,2021-11-18 11:28:03,No,Yes,Yes,Yes,Yes, Roadway width generally too narrow for bike lanes.  Sharrows appear feasible if desired.,11/18/2021, Township provided letter to PennDOT on 11/18/21, LTS 4,Y,N/A,,,,N/A,N/A,N/A,N/A,,,Yes,100300100070,10030010000000703461,4,5-year plan 2020-2024, ,, , , , ,
2253,2022,2022,WOOLSTON DR,Stony Hill Rd / SR 2069,10,0,Bridge St / SR 0032,30,2809,FALLS,,,,,,,,,1.09,Bucks,9,,,,0,,,,,,N/A,,0,0,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,N/A,2019-12-03 13:35:42,N/A,N/A,N/A,N/A,N/A,,,,,N,N/A,,,,N/A,N/A,N/A,N/A,,,N/A,202200100030,20220010000000302809,4,5-year plan 2020-2024,,,,,,,
